Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 20-Sep-2022 at 15:19:45.
Created 20-Sep-2022 15:19:45.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000047
 0.0500	 0.000055	 0.002226	 0.000008	 0.000305	-0.000093
 0.0750	 	 	 	 	-0.000181
 0.1000	 0.000266	 0.006348	 0.000039	 0.000970	-0.000269
 0.1250	 	 	 	 	-0.000451
 0.1500	 0.000742	 0.013067	 0.000113	 0.002060	-0.000632
 0.1750	 	 	 	 	-0.000879
 0.2000	 0.001566	 0.020602	 0.000246	 0.003360	-0.001125
 0.2250	 	 	 	 	-0.002225
 0.2500	 0.002840	 0.031410	 0.000457	 0.005203	-0.003317
 0.2750	 	 	 	 	-0.005434
 0.3000	 0.004671	 0.043375	 0.000759	 0.007125	-0.007528
 0.3250	 	 	 	 	-0.009821
 0.3500	 0.007101	 0.055928	 0.001155	 0.009052	-0.012076
 0.3750	 	 	 	 	-0.014530
 0.4000	 0.010172	 0.069589	 0.001647	 0.011043	-0.016926
 0.4250	 	 	 	 	-0.019494
 0.4500	 0.013965	 0.085425	 0.002241	 0.013198	-0.021982
 0.4750	 	 	 	 	-0.024682
 0.5000	 0.018614	 0.104527	 0.002946	 0.015572	-0.027275
 0.5250	 	 	 	 	-0.030209
 0.5500	 0.024302	 0.127735	 0.003772	 0.018150	-0.033001
 0.5750	 	 	 	 	-0.036390
 0.6000	 0.031245	 0.155679	 0.004728	 0.020870	-0.039574
 0.6250	 	 	 	 	-0.043570
 0.6500	 0.039694	 0.189035	 0.005820	 0.023649	-0.047279
 0.6750	 	 	 	 	-0.051829
 0.7000	 0.049957	 0.229368	 0.007047	 0.026428	-0.055993
 0.7250	 	 	 	 	-0.060943
 0.7500	 0.062172	 0.268673	 0.008397	 0.028688	-0.065361
 0.7750	 	 	 	 	-0.070679
 0.8000	 0.076163	 0.302014	 0.009841	 0.030306	-0.075260
 0.8250	 	 	 	 	-0.081050
 0.8500	 0.091633	 0.329115	 0.011351	 0.031393	-0.085854
 0.8750	 	 	 	 	-0.090572
 0.9000	 0.108213	 0.347625	 0.012899	 0.031942	-0.094109
 0.9250	 	 	 	 	-0.097703
 0.9500	 0.125466	 0.357176	 0.014464	 0.032135	-0.099907
 0.9750	 	 	 	 	-0.103365
 1.0000	 0.143053	 0.361395	 0.016035	 0.032197	-0.104551


 -------- Mode No.   2  (freq = 0.10952E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000001
 0.0500	 0.000023	 0.000925	-0.000216	-0.008721	-0.000001
